name,ring,quadrant,isNew,description
GraphQL,adopt,languages & frameworks,TRUE,
Objective-C,adopt,languages & frameworks,FALSE,
Rails,adopt,languages & frameworks,FALSE,
React Native,adopt,languages & frameworks,FALSE,
React Native,adopt,languages & frameworks,FALSE,
React.js,adopt,languages & frameworks,FALSE,
Relay,adopt,languages & frameworks,FALSE,
Ruby,adopt,languages & frameworks,FALSE,
SQL,adopt,languages & frameworks,FALSE,
styled-components,adopt,languages & frameworks,FALSE,
Typescript,adopt,languages & frameworks,FALSE,
UIKit,adopt,languages & frameworks,FALSE,
AWS,adopt,platforms,FALSE,
Docker,adopt,platforms,FALSE,
HSTS,adopt,platforms,FALSE,
Kubernetes,adopt,platforms,FALSE,
Redis,adopt,platforms,FALSE,
Babel,adopt,tools,TRUE,"This is the description. You can use basic html such as the <strong>strong tag to emphasise keywords and phrases</strong> and insert <a href=""https://www.thoughtworks.com"">anchor links to documentation and referance material</a>."
CircleCI,adopt,tools,FALSE,
Cloudflare,adopt,tools,TRUE,
Datadog APM,adopt,tools,FALSE,
Fastlane,adopt,tools,FALSE,
Grafana,adopt,tools,FALSE,
Postgresql,adopt,tools,FALSE,
RabbitMQ,adopt,tools,FALSE,
Sidekiq,adopt,tools,FALSE,
Terraform,adopt,tools,FALSE,
Webpack,adopt,tools,FALSE,
Elixir,trial,languages & frameworks,TRUE,
Phoenix,trial,languages & frameworks,TRUE,
OpsGenie,trial,tools,TRUE,
VSCode pairing,trial,tools,TRUE,
Redux,assess,languages & frameworks,FALSE,
Apollo Server,assess,platforms,TRUE,
APIs as a product,assess,techniques,TRUE,
GraphQL batching,assess,techniques,TRUE,
Apollo Platform,assess,tools,TRUE,
Datadog Synthetics,assess,tools,TRUE,
HashiCorp Vault,assess,tools,TRUE,
Helm,assess,tools,TRUE,
Coffeescript,hold,languages & frameworks,FALSE,
Scala,hold,languages & frameworks,FALSE,
Swift,hold,languages & frameworks,FALSE,
AWS Lambda,hold,platforms,TRUE,
Google cloud,hold,platforms,FALSE,
Bug bounties,hold,techniques,FALSE,
Serverless architecture,hold,techniques,TRUE,
Consul,hold,tools,FALSE,
Jenkins CI/CD,hold,tools,FALSE,
Kafka,hold,tools,FALSE,
MongoDB,hold,tools,FALSE,
Pingdom,hold,tools,TRUE,
Semaphore,hold,tools,FALSE,
Travis CI,hold,tools,TRUE,
